question,description,category,active,closed,options,outcome,response,full_response,proper
Will Elon Musk visit Gaza in 2023?,"If Elon Musk visits Gaza between November 28 and December 31, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".  For the purpose of this market, a ""visit"" is defined as Elon Musk physically entering the terrestrial or maritime territory of Gaza. Whether or not Musk enters Gazan airspace during the timeframe of this market will have no bearing on a positive resolution.  The primary resolution source for this information will be official information from Elon Musk or released by his verified social media accounts (e.g. https://twitter.com/elonmusk); however, a consensus of credible reporting will also be used.",['Middle East'],True,True,"['Yes', 'No']",No, no ,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:28:12.71981537Z', 'response': 'outcome: No.', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 2875, 1744, 266, 3779, 28729, 3251, 420, 10261, 297, 28705, 28750, 28734, 28750, 28770, 28804, 28406, 1702, 28735, 28747, 5936, 5613, 647, 464, 2501, 1421, 13, 28801, 13, 406, 4215, 28747, 1770, 28723], 'total_duration': 42308869630, 'load_duration': 5976734497, 'prompt_eval_count': 112, 'prompt_eval_duration': 34100149000, 'eval_count': 6, 'eval_duration': 2219747000}",False
"Will ""Ukraine"" be said 10 or more times in the 2nd RNC primary debate?","This market will resolve to ""Yes"" if ""Ukraine"" is said 10 or more times by the candidates (in total) during the RNC primary debate scheduled for September 27, 2023. Otherwise, the market will resolve to ""No.""  Pluralization/possessive of the word will count toward the resolution of this market. Forms such as ""Ukrainian"" will not count.   The resolution source is live video of the debate. In case of ambiguity, an official transcript and/or a consensus of credible reporting may also be considered.  If this event is cancelled or delayed beyond October 27, 2023, 11:59 PM ET, this market will resolve to ""No"".",['US politics'],True,True,"['No', 'Yes']",No, yes  the topic of ukraine is,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:28:29.329891178Z', 'response': 'outcome: Yes. The topic of Ukraine is', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 2875, 345, 28779, 6175, 4262, 28739, 347, 773, 28705, 28740, 28734, 442, 680, 2421, 297, 272, 28705, 28750, 292, 399, 9419, 6258, 12745, 28804, 28406, 1702, 28735, 28747, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 5592, 28723, 415, 9067, 302, 16654, 349], 'total_duration': 16603193671, 'load_duration': 3069356, 'prompt_eval_count': 36, 'prompt_eval_duration': 12623208000, 'eval_count': 10, 'eval_duration': 3975445000}",False
MLB: Atlanta Braves vs. Seattle Mariners 2023-05-19,"In the upcoming MLB game, scheduled for May 19 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Seattle Mariners win, the market will resolve to “Mariners”.   If the game is not completed by June 2, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Mariners']",Braves, mariners  this is based,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:28:47.517224896Z', 'response': 'outcome: Mariners. This is based', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 19003, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 18083, 1471, 262, 404, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28782, 28733, 28740, 28774, 28406, 1702, 28735, 28747, 5936, 7038, 3410, 647, 464, 7308, 262, 404, 1421, 13, 28801, 13, 406, 4215, 28747, 1471, 262, 404, 28723, 851, 349, 2818], 'total_duration': 18182145547, 'load_duration': 611064, 'prompt_eval_count': 39, 'prompt_eval_duration': 13578293000, 'eval_count': 10, 'eval_duration': 4601687000}",False
MLB: Atlanta Braves vs. Miami Marlins 2023-04-25,"In the upcoming MLB game, scheduled for April 25 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Miami Marlins win, the market will resolve to “Marlins”.   If the game is not completed by May 9, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Marlins']",Braves, braves,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:29:00.812716338Z', 'response': 'outcome: Braves', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 19003, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 16932, 1471, 28714, 1126, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28750, 28782, 28406, 1702, 28735, 28747, 5936, 7038, 3410, 647, 464, 28755, 1977, 1126, 1421, 13, 28801, 13, 406, 4215, 28747, 1896, 3410], 'total_duration': 13288025699, 'load_duration': 1101505, 'prompt_eval_count': 31, 'prompt_eval_duration': 10870083000, 'eval_count': 6, 'eval_duration': 2415238000}",False
Rams vs. 49ers,"In the upcoming NFL game, scheduled for September 17, 4:05 PM ET:  If the Los Angeles Rams win, the market will resolve to “Rams”.  If the San Francisco 49ers win, the market will resolve to “49ers”.   If the game is not completed by September 24, 2023 (11:59 PM ET) or it ends in a tie, the market will resolve 50-50.",['Football'],True,True,"['49ers', 'Rams']",49ers, 49ers  the ,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:29:12.496368945Z', 'response': 'outcome: 49ers. The ', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 399, 5322, 7709, 28723, 28705, 28781, 28774, 404, 28406, 1702, 28735, 28747, 5936, 28781, 28774, 404, 647, 464, 28754, 5322, 1421, 13, 28801, 13, 406, 4215, 28747, 28705, 28781, 28774, 404, 28723, 415, 28705], 'total_duration': 11677789320, 'load_duration': 568620, 'prompt_eval_count': 24, 'prompt_eval_duration': 7854263000, 'eval_count': 10, 'eval_duration': 3821832000}",False
Finnish Presidential Election: Will Jutta Urpilainen win?,"The 2024 Finnish presidential election is scheduled to take place on January 28, 2024, with a possible second round on February 11.  This market will resolve to ""Yes"" if Jutta Urpilainen wins. Otherwise, this market will resolve to ""No.""  This market includes any potential second round. If the result of this election isn't known by December 31, 2024, 11:59:59 PM ET, the market will resolve to ""No.""  In the case of a two-round election, if this candidate is eliminated before the second round this market may immediately resolve to ""No"".  The primary resolution source for this market will be official information from Finland, however a consensus of credible reporting will also suffice.",['Elections'],True,True,"['No', 'Yes']",No, yes  jutta urp,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:29:26.096304528Z', 'response': 'outcome: Yes. Jutta Urp', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 19357, 789, 5120, 505, 413, 1784, 28747, 2875, 475, 329, 1100, 11149, 28720, 309, 426, 269, 3108, 28804, 28406, 1702, 28735, 28747, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 5592, 28723, 475, 329, 1100, 11149, 28720], 'total_duration': 13595342135, 'load_duration': 469111, 'prompt_eval_count': 31, 'prompt_eval_duration': 9943974000, 'eval_count': 10, 'eval_duration': 3642924000}",False
MLB: Baltimore Orioles vs. Oakland Athletics 2023-04-11,"In the upcoming MLB game, scheduled for April 11 at 6:35 PM ET:  If the Baltimore Orioles win, the market will resolve to “Orioles”.  If the Oakland Athletics win, the market will resolve to “Athletics”.   If the game is not completed by April 25, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Athletics', 'Orioles']",Orioles, orioles  the game is not,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:29:41.952891382Z', 'response': 'outcome: Orioles. The game is not', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 19003, 28760, 28747, 23349, 20698, 4721, 7709, 28723, 18005, 1207, 19092, 1063, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28740, 28740, 28406, 1702, 28735, 28747, 5936, 28741, 10016, 1063, 647, 464, 28762, 373, 4721, 1421, 13, 28801, 13, 406, 4215, 28747, 20698, 4721, 28723, 415, 2039, 349, 459], 'total_duration': 15851660259, 'load_duration': 561358, 'prompt_eval_count': 40, 'prompt_eval_duration': 11685497000, 'eval_count': 10, 'eval_duration': 4163495000}",False
Will $ETH be above $1700 on April 7?,"This market will resolve to “Yes” if the Binance 1 minute candle for ETH/USDT titled 2023/04/07 03:00 in the ET timezone (referring to 3:00 AM ET) has a final “Close” price of 1700.01 or higher, or to “No” otherwise.  The resolution source for this market is https://www.binance.com, specifically the ETH/USDT “Close” prices currently available at https://www.binance.com/en/trade/ETH_USDT?_from=markets&theme=dark&type=spot with “1m” and “Original” selected on the top bar.  To see the “Close” prices, mouse over particular candles and look at the value after “Close:” at the top of the chart. The API url https://api.binance.com/api/v3/klines?symbol=ETHUSDT&interval=1m with relevant startDate and endDate parameters may be used in the event that the chart is unavailable.  Please note that this market is about the price according to Binance ETH/USDT, not according to other sources or spot markets.",['Prices'],True,True,"['No', 'Yes']",Yes, yes  the price of eth,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:29:54.221607001Z', 'response': 'outcome: Yes. The price of ETH', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 2875, 429, 21138, 347, 2747, 429, 28740, 28787, 28734, 28734, 356, 3999, 28705, 28787, 28804, 28406, 1702, 28735, 28747, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 5592, 28723, 415, 4144, 302, 413, 3151], 'total_duration': 12261075806, 'load_duration': 917060, 'prompt_eval_count': 28, 'prompt_eval_duration': 8754849000, 'eval_count': 10, 'eval_duration': 3503794000}",False
NCAAB: Alabama Crimson Tide vs. San Diego State Aztecs 2023-03-24,"In the upcoming NCAAB game, scheduled for March 24 at 6:30 PM ET:  If the Alabama Crimson Tide win, the market will resolve to “Alabama”.  If the San Diego State Aztecs win, the market will resolve to “San Diego State”.   If the game is not completed by April 10, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Alabama', 'San Diego State']",San Diego State, alabama  the alabama crimson t,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:30:09.747974148Z', 'response': 'outcome: Alabama. The Alabama Crimson T', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 418, 5194, 2192, 28747, 20339, 24849, 1265, 320, 547, 7709, 28723, 3652, 15289, 3885, 7393, 424, 3141, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28750, 28781, 28406, 1702, 28735, 28747, 5936, 2707, 19006, 647, 464, 17904, 15289, 3885, 1421, 13, 28801, 13, 406, 4215, 28747, 20339, 28723, 415, 20339, 24849, 1265, 320], 'total_duration': 15521791517, 'load_duration': 470030, 'prompt_eval_count': 44, 'prompt_eval_duration': 12063768000, 'eval_count': 10, 'eval_duration': 3456231000}",False
Warriors vs. Rockets,"In the upcoming NBA game, scheduled for November 20 at 10:00 PM ET:  If the Golden State Warriors win, the market will resolve to “Warriors”.  If the Houston Rockets win, the market will resolve to “Rockets”.   If the game is not completed by November 27, 2023 (11:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Rockets', 'Warriors']",Warriors, warriors  the warriors have,"{'model': 'mistralform3', 'created_at': '2024-02-01T01:30:19.24697785Z', 'response': 'outcome: Warriors. The Warriors have', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 4961, 486, 1274, 302, 2877, 5488, 13, 1014, 2996, 622, 347, 27718, 2701, 486, 345, 28824, 12171, 1702, 4825, 28801, 13, 1014, 2877, 622, 347, 27718, 2701, 486, 345, 18180, 28735, 4825, 304, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 3551, 349, 272, 1080, 3917, 304, 4372, 395, 865, 272, 8729, 3551, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 1302, 13, 28824, 12171, 1702, 28747, 3273, 18152, 7709, 28723, 8107, 1468, 28406, 1702, 28735, 28747, 5936, 28754, 18473, 647, 464, 24378, 18152, 1421, 13, 28801, 13, 406, 4215, 28747, 3273, 18152, 28723, 415, 3273, 18152, 506], 'total_duration': 9494668114, 'load_duration': 790201, 'prompt_eval_count': 21, 'prompt_eval_duration': 5977457000, 'eval_count': 10, 'eval_duration': 3515137000}",False
