question,description,category,active,closed,options,outcome,response,full_response,proper
Will Elon Musk visit Gaza in 2023?,"If Elon Musk visits Gaza between November 28 and December 31, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".  For the purpose of this market, a ""visit"" is defined as Elon Musk physically entering the terrestrial or maritime territory of Gaza. Whether or not Musk enters Gazan airspace during the timeframe of this market will have no bearing on a positive resolution.  The primary resolution source for this information will be official information from Elon Musk or released by his verified social media accounts (e.g. https://twitter.com/elonmusk); however, a consensus of credible reporting will also be used.",['Middle East'],True,True,"['Yes', 'No']",No,outcome   no   will the,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:09:07.109022299Z', 'response': ""Outcome: 'No'\n\nWill the"", 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 1744, 266, 3779, 28729, 3251, 420, 10261, 297, 28705, 28750, 28734, 28750, 28770, 28804, 5936, 5613, 647, 464, 2501, 1421, 13, 28801, 13, 2919, 4215, 28747, 464, 2501, 28742, 13, 13, 12695, 272], 'total_duration': 41693284348, 'load_duration': 3401380, 'prompt_eval_count': 138, 'prompt_eval_duration': 37991050000, 'eval_count': 10, 'eval_duration': 3695001000}",True
"Will ""Ukraine"" be said 10 or more times in the 2nd RNC primary debate?","This market will resolve to ""Yes"" if ""Ukraine"" is said 10 or more times by the candidates (in total) during the RNC primary debate scheduled for September 27, 2023. Otherwise, the market will resolve to ""No.""  Pluralization/possessive of the word will count toward the resolution of this market. Forms such as ""Ukrainian"" will not count.   The resolution source is live video of the debate. In case of ambiguity, an official transcript and/or a consensus of credible reporting may also be considered.  If this event is cancelled or delayed beyond October 27, 2023, 11:59 PM ET, this market will resolve to ""No"".",['US politics'],True,True,"['No', 'Yes']",No,outcome  no  the term  ukr,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:09:20.32996512Z', 'response': 'Outcome: No. The term ""Ukr', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 345, 28779, 6175, 4262, 28739, 347, 773, 28705, 28740, 28734, 442, 680, 2421, 297, 272, 28705, 28750, 292, 399, 9419, 6258, 12745, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28723, 415, 1850, 345, 28779, 6175], 'total_duration': 13216067340, 'load_duration': 6457818, 'prompt_eval_count': 32, 'prompt_eval_duration': 9541958000, 'eval_count': 10, 'eval_duration': 3665779000}",True
MLB: Atlanta Braves vs. Seattle Mariners 2023-05-19,"In the upcoming MLB game, scheduled for May 19 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Seattle Mariners win, the market will resolve to “Mariners”.   If the game is not completed by June 2, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Mariners']",Braves,outcome  braves    what,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:09:34.501226606Z', 'response': 'Outcome: Braves\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 18083, 1471, 262, 404, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28782, 28733, 28740, 28774, 5936, 7038, 3410, 647, 464, 7308, 262, 404, 1421, 13, 28801, 13, 2919, 4215, 28747, 1896, 3410, 28801, 13, 28801, 13, 3195], 'total_duration': 14166618392, 'load_duration': 470758, 'prompt_eval_count': 35, 'prompt_eval_duration': 10410355000, 'eval_count': 10, 'eval_duration': 3754685000}",True
MLB: Atlanta Braves vs. Miami Marlins 2023-04-25,"In the upcoming MLB game, scheduled for April 25 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Miami Marlins win, the market will resolve to “Marlins”.   If the game is not completed by May 9, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Marlins']",Braves,outcome  braves    what,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:09:46.549728789Z', 'response': 'Outcome: Braves\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 16932, 1471, 28714, 1126, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28750, 28782, 5936, 7038, 3410, 647, 464, 28755, 1977, 1126, 1421, 13, 28801, 13, 2919, 4215, 28747, 1896, 3410, 28801, 13, 28801, 13, 3195], 'total_duration': 12044239560, 'load_duration': 826887, 'prompt_eval_count': 27, 'prompt_eval_duration': 8309967000, 'eval_count': 10, 'eval_duration': 3729878000}",True
Rams vs. 49ers,"In the upcoming NFL game, scheduled for September 17, 4:05 PM ET:  If the Los Angeles Rams win, the market will resolve to “Rams”.  If the San Francisco 49ers win, the market will resolve to “49ers”.   If the game is not completed by September 24, 2023 (11:59 PM ET) or it ends in a tie, the market will resolve 50-50.",['Football'],True,True,"['49ers', 'Rams']",49ers,n a,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:09:56.555600142Z', 'response': 'Which team will win the Super Bowl LVI?', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28754, 5322, 7709, 28723, 28705, 28781, 28774, 404, 5936, 28781, 28774, 404, 647, 464, 28754, 5322, 1421, 13, 28801, 13, 26703, 1918, 622, 3108, 272, 6077, 21484, 393, 17102, 28804], 'total_duration': 10000603422, 'load_duration': 490850, 'prompt_eval_count': 20, 'prompt_eval_duration': 6349284000, 'eval_count': 10, 'eval_duration': 3649393000}",False
Finnish Presidential Election: Will Jutta Urpilainen win?,"The 2024 Finnish presidential election is scheduled to take place on January 28, 2024, with a possible second round on February 11.  This market will resolve to ""Yes"" if Jutta Urpilainen wins. Otherwise, this market will resolve to ""No.""  This market includes any potential second round. If the result of this election isn't known by December 31, 2024, 11:59:59 PM ET, the market will resolve to ""No.""  In the case of a two-round election, if this candidate is eliminated before the second round this market may immediately resolve to ""No"".  The primary resolution source for this market will be official information from Finland, however a consensus of credible reporting will also suffice.",['Elections'],True,True,"['No', 'Yes']",No,outcome  no    what will,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:10:08.859238584Z', 'response': 'Outcome: No\r\n\r\nWhat will', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28765, 2594, 789, 5120, 505, 413, 1784, 28747, 2875, 475, 329, 1100, 11149, 28720, 309, 426, 269, 3108, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 3195, 622], 'total_duration': 12297781008, 'load_duration': 1276237, 'prompt_eval_count': 28, 'prompt_eval_duration': 8527884000, 'eval_count': 10, 'eval_duration': 3767280000}",True
MLB: Baltimore Orioles vs. Oakland Athletics 2023-04-11,"In the upcoming MLB game, scheduled for April 11 at 6:35 PM ET:  If the Baltimore Orioles win, the market will resolve to “Orioles”.  If the Oakland Athletics win, the market will resolve to “Athletics”.   If the game is not completed by April 25, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Athletics', 'Orioles']",Orioles,outcome  athletics    n,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:10:23.587004005Z', 'response': 'Outcome: Athletics\r\n\r\nN', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 23349, 20698, 4721, 7709, 28723, 18005, 1207, 19092, 1063, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28740, 28740, 5936, 28741, 10016, 1063, 647, 464, 28762, 373, 4721, 1421, 13, 28801, 13, 2919, 4215, 28747, 19092, 1063, 28801, 13, 28801, 13, 28759], 'total_duration': 14723579265, 'load_duration': 611589, 'prompt_eval_count': 36, 'prompt_eval_duration': 11089788000, 'eval_count': 10, 'eval_duration': 3632065000}",True
Will $ETH be above $1700 on April 7?,"This market will resolve to “Yes” if the Binance 1 minute candle for ETH/USDT titled 2023/04/07 03:00 in the ET timezone (referring to 3:00 AM ET) has a final “Close” price of 1700.01 or higher, or to “No” otherwise.  The resolution source for this market is https://www.binance.com, specifically the ETH/USDT “Close” prices currently available at https://www.binance.com/en/trade/ETH_USDT?_from=markets&theme=dark&type=spot with “1m” and “Original” selected on the top bar.  To see the “Close” prices, mouse over particular candles and look at the value after “Close:” at the top of the chart. The API url https://api.binance.com/api/v3/klines?symbol=ETHUSDT&interval=1m with relevant startDate and endDate parameters may be used in the event that the chart is unavailable.  Please note that this market is about the price according to Binance ETH/USDT, not according to other sources or spot markets.",['Prices'],True,True,"['No', 'Yes']",Yes,outcome  no  the price of ether,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:10:34.783432403Z', 'response': 'Outcome: No. The price of Ether', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 429, 21138, 347, 2747, 429, 28740, 28787, 28734, 28734, 356, 3999, 28705, 28787, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28723, 415, 4144, 302, 413, 620], 'total_duration': 11191846348, 'load_duration': 7906553, 'prompt_eval_count': 24, 'prompt_eval_duration': 7432960000, 'eval_count': 10, 'eval_duration': 3749322000}",True
NCAAB: Alabama Crimson Tide vs. San Diego State Aztecs 2023-03-24,"In the upcoming NCAAB game, scheduled for March 24 at 6:30 PM ET:  If the Alabama Crimson Tide win, the market will resolve to “Alabama”.  If the San Diego State Aztecs win, the market will resolve to “San Diego State”.   If the game is not completed by April 10, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Alabama', 'San Diego State']",San Diego State,outcome  alabama    what will,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:10:50.264005355Z', 'response': 'Outcome: Alabama\r\n\r\nWhat will', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28759, 5194, 2192, 28747, 20339, 24849, 1265, 320, 547, 7709, 28723, 3652, 15289, 3885, 7393, 424, 3141, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28750, 28781, 5936, 2707, 19006, 647, 464, 17904, 15289, 3885, 1421, 13, 28801, 13, 2919, 4215, 28747, 20339, 28801, 13, 28801, 13, 3195, 622], 'total_duration': 15472819559, 'load_duration': 533468, 'prompt_eval_count': 40, 'prompt_eval_duration': 11747185000, 'eval_count': 10, 'eval_duration': 3723774000}",True
Warriors vs. Rockets,"In the upcoming NBA game, scheduled for November 20 at 10:00 PM ET:  If the Golden State Warriors win, the market will resolve to “Warriors”.  If the Houston Rockets win, the market will resolve to “Rockets”.   If the game is not completed by November 27, 2023 (11:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Rockets', 'Warriors']",Warriors,outcome  warriors    what,"{'model': 'mistralinstructform1f', 'created_at': '2024-02-01T16:10:59.442008919Z', 'response': 'Outcome: Warriors\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 24378, 18152, 7709, 28723, 8107, 1468, 5936, 28754, 18473, 647, 464, 24378, 18152, 1421, 13, 28801, 13, 2919, 4215, 28747, 3273, 18152, 28801, 13, 28801, 13, 3195], 'total_duration': 9170960192, 'load_duration': 1014635, 'prompt_eval_count': 17, 'prompt_eval_duration': 5484056000, 'eval_count': 10, 'eval_duration': 3683661000}",True
