question,description,category,active,closed,options,outcome,response,full_response,proper
Will Elon Musk visit Gaza in 2023?,"If Elon Musk visits Gaza between November 28 and December 31, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".  For the purpose of this market, a ""visit"" is defined as Elon Musk physically entering the terrestrial or maritime territory of Gaza. Whether or not Musk enters Gazan airspace during the timeframe of this market will have no bearing on a positive resolution.  The primary resolution source for this information will be official information from Elon Musk or released by his verified social media accounts (e.g. https://twitter.com/elonmusk); however, a consensus of credible reporting will also be used.",['Middle East'],True,True,"['Yes', 'No']",No,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:09.128060828Z', 'response': '\r\n', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 12984, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 30004, 13], 'total_duration': 31127396180, 'load_duration': 10817631691, 'prompt_eval_count': 77, 'prompt_eval_duration': 19634062000, 'eval_count': 3, 'eval_duration': 673763000}",False
"Will ""Ukraine"" be said 10 or more times in the 2nd RNC primary debate?","This market will resolve to ""Yes"" if ""Ukraine"" is said 10 or more times by the candidates (in total) during the RNC primary debate scheduled for September 27, 2023. Otherwise, the market will resolve to ""No.""  Pluralization/possessive of the word will count toward the resolution of this market. Forms such as ""Ukrainian"" will not count.   The resolution source is live video of the debate. In case of ambiguity, an official transcript and/or a consensus of credible reporting may also be considered.  If this event is cancelled or delayed beyond October 27, 2023, 11:59 PM ET, this market will resolve to ""No"".",['US politics'],True,True,"['No', 'Yes']",No,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:18.796152237Z', 'response': '', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 12984, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13], 'total_duration': 9660592925, 'load_duration': 2429786, 'prompt_eval_count': 32, 'prompt_eval_duration': 9656952000, 'eval_count': 1, 'eval_duration': 91000}",False
MLB: Atlanta Braves vs. Seattle Mariners 2023-05-19,"In the upcoming MLB game, scheduled for May 19 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Seattle Mariners win, the market will resolve to “Mariners”.   If the game is not completed by June 2, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Mariners']",Braves,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:33.244963532Z', 'response': 'MLB: Los Angeles Dodgers vs.', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 1988, 29933, 29901, 4602, 10722, 360, 397, 5743, 7186, 29889], 'total_duration': 14444174916, 'load_duration': 1155089, 'prompt_eval_count': 35, 'prompt_eval_duration': 10912645000, 'eval_count': 10, 'eval_duration': 3528889000}",False
MLB: Atlanta Braves vs. Miami Marlins 2023-04-25,"In the upcoming MLB game, scheduled for April 25 at 7:20 PM ET:  If the Atlanta Braves win, the market will resolve to “Braves”.  If the Miami Marlins win, the market will resolve to “Marlins”.   If the game is not completed by May 9, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Braves', 'Marlins']",Braves,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:44.1470207Z', 'response': 'MLB: Boston Red Sox vs. Toronto', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 1988, 29933, 29901, 12115, 4367, 1105, 29916, 7186, 29889, 17612], 'total_duration': 10896892659, 'load_duration': 9760783, 'prompt_eval_count': 27, 'prompt_eval_duration': 7572916000, 'eval_count': 10, 'eval_duration': 3311348000}",False
Rams vs. 49ers,"In the upcoming NFL game, scheduled for September 17, 4:05 PM ET:  If the Los Angeles Rams win, the market will resolve to “Rams”.  If the San Francisco 49ers win, the market will resolve to “49ers”.   If the game is not completed by September 24, 2023 (11:59 PM ET) or it ends in a tie, the market will resolve 50-50.",['Football'],True,True,"['49ers', 'Rams']",49ers,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:52.558782768Z', 'response': ""Biden vs. Trump ['Trump', '"", 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 29934, 2232, 7186, 29889, 29871, 29946, 29929, 414, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 29933, 3615, 7186, 29889, 27504, 6024, 2308, 3427, 742, 525], 'total_duration': 8403226347, 'load_duration': 485264, 'prompt_eval_count': 20, 'prompt_eval_duration': 5348619000, 'eval_count': 10, 'eval_duration': 3049640000}",False
Finnish Presidential Election: Will Jutta Urpilainen win?,"The 2024 Finnish presidential election is scheduled to take place on January 28, 2024, with a possible second round on February 11.  This market will resolve to ""Yes"" if Jutta Urpilainen wins. Otherwise, this market will resolve to ""No.""  This market includes any potential second round. If the result of this election isn't known by December 31, 2024, 11:59:59 PM ET, the market will resolve to ""No.""  In the case of a two-round election, if this candidate is eliminated before the second round this market may immediately resolve to ""No"".  The primary resolution source for this market will be official information from Finland, however a consensus of credible reporting will also suffice.",['Elections'],True,True,"['No', 'Yes']",No,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:57:59.983947426Z', 'response': '', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 29943, 2559, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13], 'total_duration': 7421239652, 'load_duration': 7433157, 'prompt_eval_count': 28, 'prompt_eval_duration': 7412930000, 'eval_count': 1, 'eval_duration': 67000}",False
MLB: Baltimore Orioles vs. Oakland Athletics 2023-04-11,"In the upcoming MLB game, scheduled for April 11 at 6:35 PM ET:  If the Baltimore Orioles win, the market will resolve to “Orioles”.  If the Oakland Athletics win, the market will resolve to “Athletics”.   If the game is not completed by April 25, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Baseball'],True,True,"['Athletics', 'Orioles']",Orioles,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:58:12.297866707Z', 'response': 'MLB: Boston Red Sox vs. Toronto', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 1988, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 1988, 29933, 29901, 12115, 4367, 1105, 29916, 7186, 29889, 17612], 'total_duration': 12310545130, 'load_duration': 5034099, 'prompt_eval_count': 35, 'prompt_eval_duration': 9203015000, 'eval_count': 10, 'eval_duration': 3101281000}",False
Will $ETH be above $1700 on April 7?,"This market will resolve to “Yes” if the Binance 1 minute candle for ETH/USDT titled 2023/04/07 03:00 in the ET timezone (referring to 3:00 AM ET) has a final “Close” price of 1700.01 or higher, or to “No” otherwise.  The resolution source for this market is https://www.binance.com, specifically the ETH/USDT “Close” prices currently available at https://www.binance.com/en/trade/ETH_USDT?_from=markets&theme=dark&type=spot with “1m” and “Original” selected on the top bar.  To see the “Close” prices, mouse over particular candles and look at the value after “Close:” at the top of the chart. The API url https://api.binance.com/api/v3/klines?symbol=ETHUSDT&interval=1m with relevant startDate and endDate parameters may be used in the event that the chart is unavailable.  Please note that this market is about the price according to Binance ETH/USDT, not according to other sources or spot markets.",['Prices'],True,True,"['No', 'Yes']",Yes,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:58:18.905936237Z', 'response': '', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 12984, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13], 'total_duration': 6604642831, 'load_duration': 443070, 'prompt_eval_count': 25, 'prompt_eval_duration': 6603197000, 'eval_count': 1, 'eval_duration': 83000}",False
NCAAB: Alabama Crimson Tide vs. San Diego State Aztecs 2023-03-24,"In the upcoming NCAAB game, scheduled for March 24 at 6:30 PM ET:  If the Alabama Crimson Tide win, the market will resolve to “Alabama”.  If the San Diego State Aztecs win, the market will resolve to “San Diego State”.   If the game is not completed by April 10, 2023 (11:59:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Alabama', 'San Diego State']",San Diego State,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:58:33.081766945Z', 'response': 'NBA: Golden State Warriors vs. Los', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 29940, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 29940, 5688, 29901, 16108, 4306, 3362, 28739, 7186, 29889, 4602], 'total_duration': 14171567145, 'load_duration': 2467307, 'prompt_eval_count': 41, 'prompt_eval_duration': 11078960000, 'eval_count': 10, 'eval_duration': 3088976000}",False
Warriors vs. Rockets,"In the upcoming NBA game, scheduled for November 20 at 10:00 PM ET:  If the Golden State Warriors win, the market will resolve to “Warriors”.  If the Houston Rockets win, the market will resolve to “Rockets”.   If the game is not completed by November 27, 2023 (11:59 PM ET), the market will resolve 50-50.",['Basketball'],True,True,"['Rockets', 'Warriors']",Warriors,n a,"{'model': 'llama2textform1', 'created_at': '2024-02-01T00:58:38.454996802Z', 'response': '', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 1048, 278, 5434, 322, 263, 9262, 310, 1950, 714, 26807, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 21957, 338, 901, 5517, 322, 1234, 297, 2629, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 29956, 279, 28739, 7186, 29889, 8027, 1691, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13], 'total_duration': 5369080457, 'load_duration': 498920, 'prompt_eval_count': 20, 'prompt_eval_duration': 5367042000, 'eval_count': 1, 'eval_duration': 63000}",False
