question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,outcome no,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:31:18.267177883Z', 'response': ""Outcome: 'No'\n\nWill the"", 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 1744, 266, 3779, 28729, 3251, 420, 10261, 297, 28705, 28750, 28734, 28750, 28770, 28804, 5936, 5613, 647, 464, 2501, 1421, 13, 28801, 13, 2919, 4215, 28747, 464, 2501, 28742, 13, 13, 12695, 272], 'total_duration': 35962654885, 'load_duration': 8532765633, 'prompt_eval_count': 143, 'prompt_eval_duration': 24880442000, 'eval_count': 10, 'eval_duration': 2548177000}",True
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,outcome no,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:31:27.616384891Z', 'response': 'Outcome: No. The term ""Ukr', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 345, 28779, 6175, 4262, 28739, 347, 773, 28705, 28740, 28734, 442, 680, 2421, 297, 272, 28705, 28750, 292, 399, 9419, 6258, 12745, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28723, 415, 1850, 345, 28779, 6175], 'total_duration': 9344839534, 'load_duration': 1959603, 'prompt_eval_count': 32, 'prompt_eval_duration': 6814518000, 'eval_count': 10, 'eval_duration': 2527472000}",True
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,outcome braves,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:31:37.83566512Z', 'response': 'Outcome: Braves\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 18083, 1471, 262, 404, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28782, 28733, 28740, 28774, 5936, 7038, 3410, 647, 464, 7308, 262, 404, 1421, 13, 28801, 13, 2919, 4215, 28747, 1896, 3410, 28801, 13, 28801, 13, 3195], 'total_duration': 10215376321, 'load_duration': 468008, 'prompt_eval_count': 35, 'prompt_eval_duration': 7620941000, 'eval_count': 10, 'eval_duration': 2592896000}",True
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,outcome braves,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:31:46.718470733Z', 'response': 'Outcome: Braves\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 16932, 1471, 28714, 1126, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28750, 28782, 5936, 7038, 3410, 647, 464, 28755, 1977, 1126, 1421, 13, 28801, 13, 2919, 4215, 28747, 1896, 3410, 28801, 13, 28801, 13, 3195], 'total_duration': 8879548554, 'load_duration': 433301, 'prompt_eval_count': 27, 'prompt_eval_duration': 6207430000, 'eval_count': 10, 'eval_duration': 2669656000}",True
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,n a,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:31:54.476064966Z', 'response': 'Which team will win the Super Bowl LVI?', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28754, 5322, 7709, 28723, 28705, 28781, 28774, 404, 5936, 28781, 28774, 404, 647, 464, 28754, 5322, 1421, 13, 28801, 13, 26703, 1918, 622, 3108, 272, 6077, 21484, 393, 17102, 28804], 'total_duration': 7753634703, 'load_duration': 375986, 'prompt_eval_count': 20, 'prompt_eval_duration': 4930233000, 'eval_count': 10, 'eval_duration': 2821049000}",False
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,outcome no,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:32:04.053386833Z', 'response': 'Outcome: No\r\n\r\nWhat will', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28765, 2594, 789, 5120, 505, 413, 1784, 28747, 2875, 475, 329, 1100, 11149, 28720, 309, 426, 269, 3108, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 3195, 622], 'total_duration': 9573823044, 'load_duration': 1027579, 'prompt_eval_count': 28, 'prompt_eval_duration': 6668166000, 'eval_count': 10, 'eval_duration': 2899791000}",True
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,outcome athletics,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:32:15.708931841Z', 'response': 'Outcome: Athletics\r\n\r\nN', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 3827, 28760, 28747, 23349, 20698, 4721, 7709, 28723, 18005, 1207, 19092, 1063, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28740, 28740, 5936, 28741, 10016, 1063, 647, 464, 28762, 373, 4721, 1421, 13, 28801, 13, 2919, 4215, 28747, 19092, 1063, 28801, 13, 28801, 13, 28759], 'total_duration': 11651590026, 'load_duration': 387440, 'prompt_eval_count': 36, 'prompt_eval_duration': 8708337000, 'eval_count': 10, 'eval_duration': 2942042000}",True
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,outcome no,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:32:24.791307794Z', 'response': 'Outcome: No. The price of Ether', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 12695, 429, 21138, 347, 2747, 429, 28740, 28787, 28734, 28734, 356, 3999, 28705, 28787, 28804, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 2919, 4215, 28747, 1770, 28723, 415, 4144, 302, 413, 620], 'total_duration': 9078423599, 'load_duration': 621657, 'prompt_eval_count': 24, 'prompt_eval_duration': 6009600000, 'eval_count': 10, 'eval_duration': 3067158000}",True
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,outcome alabama,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:32:38.203225887Z', 'response': 'Outcome: Alabama\r\n\r\nWhat will', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 28759, 5194, 2192, 28747, 20339, 24849, 1265, 320, 547, 7709, 28723, 3652, 15289, 3885, 7393, 424, 3141, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28750, 28781, 5936, 2707, 19006, 647, 464, 17904, 15289, 3885, 1421, 13, 28801, 13, 2919, 4215, 28747, 20339, 28801, 13, 28801, 13, 3195, 622], 'total_duration': 13408644883, 'load_duration': 348212, 'prompt_eval_count': 40, 'prompt_eval_duration': 10049700000, 'eval_count': 10, 'eval_duration': 3357020000}",True
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,outcome warriors,"{'model': 'mistralform1f', 'created_at': '2024-02-05T23:32:46.542166614Z', 'response': 'Outcome: Warriors\r\n\r\nWhat', 'done': True, 'context': [1302, 13, 28801, 13, 1976, 622, 5556, 264, 2996, 684, 272, 3437, 304, 264, 7495, 302, 2572, 18014, 481, 12848, 1444, 3980, 28801, 13, 9226, 409, 690, 14120, 349, 680, 3917, 304, 4372, 297, 2373, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 3551, 19593, 28801, 13, 28801, 13, 15423, 349, 396, 2757, 302, 4224, 304, 11194, 8230, 13, 28765, 454, 10357, 28747, 2875, 18421, 3108, 486, 7446, 28804, 325, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28740, 28740, 28731, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 28801, 13, 12695, 4287, 16932, 3108, 351, 6687, 7440, 28804, 733, 5613, 28725, 1770, 18766, 13, 2919, 4215, 28747, 1770, 28801, 13, 1302, 13, 24378, 18152, 7709, 28723, 8107, 1468, 5936, 28754, 18473, 647, 464, 24378, 18152, 1421, 13, 28801, 13, 2919, 4215, 28747, 3273, 18152, 28801, 13, 28801, 13, 3195], 'total_duration': 8330307039, 'load_duration': 449665, 'prompt_eval_count': 17, 'prompt_eval_duration': 4762283000, 'eval_count': 10, 'eval_duration': 3566181000}",True
