question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:17:54.408581834Z', 'response': 'Please choose the most likely outcome and answer with only', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 2811, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 960, 1260, 265, 3077, 29895, 1998, 1169, 15853, 29874, 1546, 3979, 29871, 29906, 29947, 322, 5846, 29871, 29941, 29896, 29892, 29871, 29896, 29896, 29901, 29945, 29929, 11278, 382, 29911, 29892, 445, 9999, 674, 8814, 304, 376, 8241, 1642, 13466, 29892, 445, 9999, 674, 8814, 304, 376, 3782, 1642, 29871, 1152, 278, 6437, 310, 445, 9999, 29892, 263, 376, 1730, 277, 29908, 338, 3342, 408, 1260, 265, 3077, 29895, 4824, 1711, 18055, 278, 27386, 9315, 470, 1766, 21998, 20123, 310, 15853, 29874, 29889, 26460, 470, 451, 3077, 29895, 24395, 15853, 273, 4799, 3493, 2645, 278, 931, 2557, 310, 445, 9999, 674, 505, 694, 24638, 373, 263, 6374, 10104, 29889, 29871, 450, 7601, 10104, 2752, 363, 445, 2472, 674, 367, 6221, 2472, 515, 1260, 265, 3077, 29895, 470, 5492, 491, 670, 26834, 5264, 5745, 15303, 313, 29872, 29889, 29887, 29889, 2045, 597, 24946, 29889, 510, 29914, 295, 265, 8366, 29895, 416, 3138, 29892, 263, 1136, 8841, 310, 6625, 1821, 23415, 674, 884, 367, 1304, 29889, 6418, 29911, 27946, 29901, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 12148, 6755, 278, 1556, 5517, 21957, 322, 1234, 411, 871], 'total_duration': 51085739019, 'load_duration': 2449561, 'prompt_eval_count': 242, 'prompt_eval_duration': 48178270000, 'eval_count': 10, 'eval_duration': 2904309000}",False
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:18:38.309725584Z', 'response': 'Please choose the outcome you think is most likely and', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 2811, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 910, 9999, 674, 8814, 304, 376, 8241, 29908, 565, 376, 29965, 29895, 12096, 29908, 338, 1497, 29871, 29896, 29900, 470, 901, 3064, 491, 278, 21669, 313, 262, 3001, 29897, 2645, 278, 390, 15868, 7601, 27836, 21467, 363, 3839, 29871, 29906, 29955, 29892, 29871, 29906, 29900, 29906, 29941, 29889, 13466, 29892, 278, 9999, 674, 8814, 304, 376, 3782, 1213, 29871, 1858, 3631, 2133, 29914, 28802, 404, 573, 310, 278, 1734, 674, 2302, 11183, 278, 10104, 310, 445, 9999, 29889, 3812, 29879, 1316, 408, 376, 29965, 29895, 6038, 713, 29908, 674, 451, 2302, 29889, 259, 450, 10104, 2752, 338, 5735, 4863, 310, 278, 27836, 29889, 512, 1206, 310, 22363, 537, 29892, 385, 6221, 1301, 924, 322, 29914, 272, 263, 1136, 8841, 310, 6625, 1821, 23415, 1122, 884, 367, 5545, 29889, 29871, 960, 445, 1741, 338, 12611, 839, 470, 29801, 8724, 5533, 29871, 29906, 29955, 29892, 29871, 29906, 29900, 29906, 29941, 29892, 29871, 29896, 29896, 29901, 29945, 29929, 11278, 382, 29911, 29892, 445, 9999, 674, 8814, 304, 376, 3782, 1642, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 6755, 278, 21957, 366, 1348, 338, 1556, 5517, 322], 'total_duration': 43896979512, 'load_duration': 391121, 'prompt_eval_count': 203, 'prompt_eval_duration': 41057469000, 'eval_count': 10, 'eval_duration': 2838348000}",False
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:19:10.459015425Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 512, 278, 701, 11506, 23158, 29933, 3748, 29892, 21467, 363, 2610, 29871, 29896, 29929, 472, 29871, 29955, 29901, 29906, 29900, 11278, 382, 29911, 29901, 29871, 960, 278, 26484, 5032, 1960, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 28183, 1960, 8643, 29871, 960, 278, 27689, 1085, 262, 414, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 7083, 262, 414, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 5306, 29871, 29906, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 29901, 29945, 29929, 11278, 382, 29911, 511, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 32144740211, 'load_duration': 470625, 'prompt_eval_count': 140, 'prompt_eval_duration': 29349073000, 'eval_count': 10, 'eval_duration': 2794274000}",False
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:19:40.751386293Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 512, 278, 701, 11506, 23158, 29933, 3748, 29892, 21467, 363, 3786, 29871, 29906, 29945, 472, 29871, 29955, 29901, 29906, 29900, 11278, 382, 29911, 29901, 29871, 960, 278, 26484, 5032, 1960, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 28183, 1960, 8643, 29871, 960, 278, 23740, 1085, 29880, 1144, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 7083, 29880, 1144, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 2610, 29871, 29929, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 29901, 29945, 29929, 11278, 382, 29911, 511, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 30288928351, 'load_duration': 340808, 'prompt_eval_count': 132, 'prompt_eval_duration': 27524375000, 'eval_count': 10, 'eval_duration': 2763244000}",False
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:20:10.881909591Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 390, 2232, 7186, 29889, 29871, 29946, 29929, 414, 512, 278, 701, 11506, 25167, 3748, 29892, 21467, 363, 3839, 29871, 29896, 29955, 29892, 29871, 29946, 29901, 29900, 29945, 11278, 382, 29911, 29901, 29871, 960, 278, 4602, 10722, 390, 2232, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 29934, 2232, 8643, 29871, 960, 278, 3087, 8970, 29871, 29946, 29929, 414, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 29946, 29929, 414, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 3839, 29871, 29906, 29946, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 11278, 382, 29911, 29897, 470, 372, 10614, 297, 263, 22134, 29892, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 30126722288, 'load_duration': 443479, 'prompt_eval_count': 132, 'prompt_eval_duration': 27433662000, 'eval_count': 10, 'eval_duration': 2691808000}",False
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:20:56.291023829Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 21189, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 450, 29871, 29906, 29900, 29906, 29946, 21189, 728, 6673, 616, 8271, 338, 21467, 304, 2125, 2058, 373, 5490, 29871, 29906, 29947, 29892, 29871, 29906, 29900, 29906, 29946, 29892, 411, 263, 1950, 1473, 4513, 373, 6339, 29871, 29896, 29896, 29889, 29871, 910, 9999, 674, 8814, 304, 376, 8241, 29908, 565, 435, 329, 941, 8918, 29886, 309, 475, 264, 21614, 29889, 13466, 29892, 445, 9999, 674, 8814, 304, 376, 3782, 1213, 29871, 910, 9999, 7805, 738, 7037, 1473, 4513, 29889, 960, 278, 1121, 310, 445, 8271, 3508, 29915, 29873, 2998, 491, 5846, 29871, 29941, 29896, 29892, 29871, 29906, 29900, 29906, 29946, 29892, 29871, 29896, 29896, 29901, 29945, 29929, 29901, 29945, 29929, 11278, 382, 29911, 29892, 278, 9999, 674, 8814, 304, 376, 3782, 1213, 29871, 512, 278, 1206, 310, 263, 1023, 29899, 14486, 8271, 29892, 565, 445, 14020, 338, 10397, 630, 1434, 278, 1473, 4513, 445, 9999, 1122, 7389, 8814, 304, 376, 3782, 1642, 29871, 450, 7601, 10104, 2752, 363, 445, 9999, 674, 367, 6221, 2472, 515, 18312, 29892, 3138, 263, 1136, 8841, 310, 6625, 1821, 23415, 674, 884, 9378, 625, 29889, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 45405167752, 'load_duration': 371011, 'prompt_eval_count': 210, 'prompt_eval_duration': 42582901000, 'eval_count': 10, 'eval_duration': 2821030000}",False
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:21:28.244444625Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 512, 278, 701, 11506, 23158, 29933, 3748, 29892, 21467, 363, 3786, 29871, 29896, 29896, 472, 29871, 29953, 29901, 29941, 29945, 11278, 382, 29911, 29901, 29871, 960, 278, 26767, 11678, 6544, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 15988, 6544, 8643, 29871, 960, 278, 24132, 1049, 28981, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 29909, 386, 1026, 1199, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 3786, 29871, 29906, 29945, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 29901, 29945, 29929, 11278, 382, 29911, 511, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 31949022238, 'load_duration': 397230, 'prompt_eval_count': 141, 'prompt_eval_duration': 29175842000, 'eval_count': 10, 'eval_duration': 2771896000}",False
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:22:31.144712403Z', 'response': 'Please choose your answer:', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 2811, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 910, 9999, 674, 8814, 304, 1346, 8241, 30024, 565, 278, 27662, 749, 29871, 29896, 11015, 23794, 280, 363, 382, 4690, 29914, 3308, 12972, 25278, 29871, 29906, 29900, 29906, 29941, 29914, 29900, 29946, 29914, 29900, 29955, 29871, 29900, 29941, 29901, 29900, 29900, 297, 278, 382, 29911, 29431, 313, 20275, 5393, 304, 29871, 29941, 29901, 29900, 29900, 13862, 382, 29911, 29897, 756, 263, 2186, 1346, 11123, 30024, 8666, 310, 29871, 29896, 29955, 29900, 29900, 29889, 29900, 29896, 470, 6133, 29892, 470, 304, 1346, 3782, 30024, 6467, 29889, 29871, 450, 10104, 2752, 363, 445, 9999, 338, 2045, 597, 1636, 29889, 2109, 749, 29889, 510, 29892, 10816, 278, 382, 4690, 29914, 3308, 12972, 1346, 11123, 30024, 26094, 5279, 3625, 472, 2045, 597, 1636, 29889, 2109, 749, 29889, 510, 29914, 264, 29914, 3018, 311, 29914, 2544, 29950, 29918, 3308, 12972, 29973, 29918, 3166, 29922, 3502, 1691, 29987, 18193, 29922, 26031, 29987, 1853, 29922, 17500, 411, 1346, 29896, 29885, 30024, 322, 1346, 26036, 30024, 4629, 373, 278, 2246, 2594, 29889, 29871, 1763, 1074, 278, 1346, 11123, 30024, 26094, 29892, 9495, 975, 3153, 23794, 793, 322, 1106, 472, 278, 995, 1156, 1346, 11123, 29901, 30024, 472, 278, 2246, 310, 278, 8727, 29889, 450, 3450, 3142, 2045, 597, 2754, 29889, 2109, 749, 29889, 510, 29914, 2754, 29914, 29894, 29941, 29914, 6321, 1475, 29973, 18098, 29922, 2544, 29950, 3308, 12972, 29987, 19207, 29922, 29896, 29885, 411, 8018, 1369, 2539, 322, 1095, 2539, 4128, 1122, 367, 1304, 297, 278, 1741, 393, 278, 8727, 338, 443, 16515, 29889, 29871, 3529, 4443, 393, 445, 9999, 338, 1048, 278, 8666, 5034, 304, 27662, 749, 382, 4690, 29914, 3308, 12972, 29892, 451, 5034, 304, 916, 8974, 470, 9758, 2791, 1691, 29889, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 6755, 596, 1234, 29901], 'total_duration': 62895363471, 'load_duration': 381842, 'prompt_eval_count': 306, 'prompt_eval_duration': 61356022000, 'eval_count': 6, 'eval_duration': 1538153000}",False
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:23:05.083268932Z', 'response': 'Please choose your answer from the options provided.', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 405, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 512, 278, 701, 11506, 405, 5454, 2882, 3748, 29892, 21467, 363, 4779, 29871, 29906, 29946, 472, 29871, 29953, 29901, 29941, 29900, 11278, 382, 29911, 29901, 29871, 960, 278, 26911, 315, 5632, 1100, 323, 680, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 2499, 23758, 8643, 29871, 960, 278, 3087, 16879, 4306, 4709, 371, 2395, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 22509, 16879, 4306, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 3786, 29871, 29896, 29900, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 29901, 29945, 29929, 11278, 382, 29911, 511, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 12148, 6755, 596, 1234, 515, 278, 3987, 4944, 29889], 'total_duration': 33933865680, 'load_duration': 384156, 'prompt_eval_count': 153, 'prompt_eval_duration': 31258783000, 'eval_count': 10, 'eval_duration': 2673860000}",False
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,n a,"{'model': 'llama2form8', 'created_at': '2024-02-05T19:23:33.868743247Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6132, 451, 12312, 278, 1139, 297, 278, 2933, 29889, 1938, 451, 5649, 278, 2933, 22993, 13, 30004, 13, 14130, 2725, 29901, 3362, 28739, 7186, 29889, 8027, 1691, 512, 278, 701, 11506, 21517, 3748, 29892, 21467, 363, 3979, 29871, 29906, 29900, 472, 29871, 29896, 29900, 29901, 29900, 29900, 11278, 382, 29911, 29901, 29871, 960, 278, 16108, 4306, 3362, 28739, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 29956, 279, 28739, 8643, 29871, 960, 278, 24327, 8027, 1691, 5401, 29892, 278, 9999, 674, 8814, 304, 1346, 29934, 1698, 1691, 8643, 259, 960, 278, 3748, 338, 451, 8676, 491, 3979, 29871, 29906, 29955, 29892, 29871, 29906, 29900, 29906, 29941, 313, 29896, 29896, 29901, 29945, 29929, 11278, 382, 29911, 511, 278, 9999, 674, 8814, 29871, 29945, 29900, 29899, 29945, 29900, 29889, 6418, 29911, 27946, 29901, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 28779593379, 'load_duration': 405488, 'prompt_eval_count': 123, 'prompt_eval_duration': 26107321000, 'eval_count': 10, 'eval_duration': 2670910000}",False
