question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,outcome no,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:40:45.188712443Z', 'response': 'Outcome: No', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 12984, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 3744, 2763, 29901, 1939], 'total_duration': 19375240400, 'load_duration': 1971934, 'prompt_eval_count': 77, 'prompt_eval_duration': 18188440000, 'eval_count': 5, 'eval_duration': 1184110000}",True
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,outcome yes,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:40:53.849322741Z', 'response': 'Outcome: Yes', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 12984, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 3744, 2763, 29901, 3869], 'total_duration': 8657802033, 'load_duration': 468590, 'prompt_eval_count': 32, 'prompt_eval_duration': 7435815000, 'eval_count': 5, 'eval_duration': 1220656000}",True
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:04.779090844Z', 'response': 'What is the outcome of the game between the Atlanta', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 5618, 338, 278, 21957, 310, 278, 3748, 1546, 278, 26484], 'total_duration': 10926446756, 'load_duration': 1576968, 'prompt_eval_count': 35, 'prompt_eval_duration': 8190056000, 'eval_count': 10, 'eval_duration': 2733773000}",False
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:14.121701762Z', 'response': 'What is the outcome of the game between the Atlanta', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 5618, 338, 278, 21957, 310, 278, 3748, 1546, 278, 26484], 'total_duration': 9339501889, 'load_duration': 359501, 'prompt_eval_count': 27, 'prompt_eval_duration': 6430607000, 'eval_count': 10, 'eval_duration': 2907603000}",False
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:20.800114899Z', 'response': 'Please provide your answer.', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 29934, 2232, 7186, 29889, 29871, 29946, 29929, 414, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 12148, 3867, 596, 1234, 29889], 'total_duration': 6675371495, 'load_duration': 416922, 'prompt_eval_count': 20, 'prompt_eval_duration': 5068498000, 'eval_count': 6, 'eval_duration': 1605484000}",False
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:29.646371302Z', 'response': 'Please respond with the chosen outcome.', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 29943, 2559, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 10049, 411, 278, 10434, 21957, 29889], 'total_duration': 8843475287, 'load_duration': 372188, 'prompt_eval_count': 28, 'prompt_eval_duration': 6752079000, 'eval_count': 8, 'eval_duration': 2090305000}",False
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:40.43667622Z', 'response': 'What is the outcome of the game between Baltimore Ori', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 1988, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 5618, 338, 278, 21957, 310, 278, 3748, 1546, 26767, 11678], 'total_duration': 10786059478, 'load_duration': 444979, 'prompt_eval_count': 35, 'prompt_eval_duration': 8123519000, 'eval_count': 10, 'eval_duration': 2661341000}",False
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:41:48.819744697Z', 'response': 'Please choose an option from the brackets.', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 12984, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 6755, 385, 2984, 515, 278, 20476, 29889], 'total_duration': 8380006048, 'load_duration': 707011, 'prompt_eval_count': 25, 'prompt_eval_duration': 6004425000, 'eval_count': 9, 'eval_duration': 2374065000}",False
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,outcome alabama,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:42:01.333922532Z', 'response': 'What is the outcome of the game between Alabama C', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 29940, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 5618, 338, 278, 21957, 310, 278, 3748, 1546, 26911, 315], 'total_duration': 12510448865, 'load_duration': 508044, 'prompt_eval_count': 41, 'prompt_eval_duration': 9653999000, 'eval_count': 10, 'eval_duration': 2855134000}",True
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,n a,"{'model': 'llama2form2', 'created_at': '2024-02-04T14:42:08.849769523Z', 'response': 'Please provide your answer as a response to this message', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 29956, 279, 28739, 7186, 29889, 8027, 1691, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13, 12148, 3867, 596, 1234, 408, 263, 2933, 304, 445, 2643], 'total_duration': 7512635853, 'load_duration': 508476, 'prompt_eval_count': 20, 'prompt_eval_duration': 4829969000, 'eval_count': 10, 'eval_duration': 2680685000}",False
